ingr_code,name_ko,name_en
D000046,이르베사르탄,Irbesartan
D000273,칸데사르탄실렉세틸,Candesartan Cilexetil
D000485,텔미사르탄,Telmisartan
D000624,피마사르탄칼륨삼수화물,Fimasartan Potassium Trihydrate
D000618,펜토바르비탈나트륨,Pentobarbital Sodium
D000106,플루라제팜염산염,Flurazepam Hydrochloride
D000411,플루니트라제팜,Flunitrazepam
D000592,트리아졸람,Triazolam
D000007,미다졸람,Midazolam
D000271,졸피뎀타르타르산염,Zolpidem Tartrate
D000468,오르페나드린염산염,Orphenadrine Hydrochloride
D000097,펜타닐시트르산염,Fentanyl Citrate
D000356,옥시코돈염산염,Oxycodone Hydrochloride
D000197,니페디핀,Nifedipine
D000496,니모디핀,Nimodipine
D000752,에포니디핀염산염,Efonidipine Hydrochloride
D000584,클로르프로마진염산염,Chlorpromazine Hydrochloride
D000792,레보메프로마진말레산염,Levomepromazine Maleate
D000781,페르페나진,Perphenazine
D000113,할로페리돌,Haloperidol
D000276,클로르프로칙센,Chlorprothixene
D000357,올란자핀,Olanzapine
D000728,설피리드,Sulpiride
D000491,팔리페리돈팔미테이트,Paliperidone Palmitate
D000090,디아제팜,Diazepam
D000056,클로르디아제폭시드염산염,Chlordiazepoxide Hydrochloride
D000133,브로마제팜,Bromazepam
D000378,클로바잠,Clobazam
D000660,알프라졸람,Alprazolam
D000352,에티졸람,Etizolam
D000540,부스피론염산염,Buspirone Hydrochloride
D000362,이미프라민염산염,Imipramine Hydrochloride
D000277,클로미프라민염산염,Clomipramine Hydrochloride
D000501,독세핀염산염,Doxepin Hydrochloride
D000516,플루옥세틴염산염,Fluoxetine Hydrochloride
D000438,벤조나테이트,Benzonatate
D000186,트라닐라스트,Tranilast
D000731,스피로노락톤,Spironolactone
D000799,프로프라놀롤염산염,Propranolol Hydrochloride
D000419,로바스타틴,Lovastatin
D000305,프라바스타틴나트륨,Pravastatin Sodium
D000306,플루바스타틴나트륨,Fluvastatin Sodium
D000219,로수바스타틴칼슘,Rosuvastatin Calcium
D000518,피타바스타틴칼슘,Pitavastatin Calcium
D000070,페노테롤브롬화수소산염,Fenoterol Hydrobromide
D000514,프로카테롤염산염수화물,Procaterol Hydrochloride Hydrate
D000137,살부타몰황산염,Salbutamol Sulfate
D000185,툴로부테롤,Tulobuterol
D000155,에페드린염산염,Ephedrine Hydrochloride
D000448,슈도에페드린염산염,Pseudoephedrine Hydrochloride
D000708,로라타딘,Loratadine
D000236,베포타스틴칼슘이수화물,Bepotastine Calcium Dihydrate
D000647,세티리진염산염,Cetirizine Hydrochloride
D000026,시프로헵타딘염산염수화물,Cyproheptadine Hydrochloride Hydrate
D000374,클레마스틴푸마르산염,Clemastine Fumarate
D000355,옥시라세탐,Oxiracetam
D000307,피라세탐,Piracetam
D000552,아토목세틴염산염,Atomoxetine Hydrochloride
D000229,메틸페니데이트염산염,Methylphenidate Hydrochloride
D000326,밀나시프란염산염,Milnacipran Hydrochloride
D000638,벤라팍신염산염,Venlafaxine Hydrochloride
D000336,설트랄린염산염,Sertraline Hydrochloride
D000353,파록세틴염산염수화물,Paroxetine Hydrochloride Hydrate
D000620,프라미펙솔염산염일수화물,Pramipexole Dihydrochloride Monohydrate
D000627,로피니롤염산염,Ropinirole Hydrochloride
D000302,레보도파,Levodopa
D000440,벤즈트로핀메실산염,Benztropine Mesylate
D000740,아시피목스,Acipimox
D000012,베자피브레이트,Bezafibrate
D000076,겜피브로질,Gemfibrozil
D000686,페노피브레이트,Fenofibrate
D000851,톨페남산,Tolfenamic Acid
D000747,에르고타민타르타르산염,Ergotamine Tartrate
D000855,지파미드,Xipamide
D000856,인다파미드,Indapamide
D000858,메틸도파,Methyldopa
D000866,S-아테놀롤,S-Atenolol
D000867,라베탈롤염산염,Labetalol Hydrochloride
D000935,레보클로페라스틴펜디조산염,Levocloperastine Fendizoate
D000875,알펜타닐염산염,Alfentanil Hydrochloride
D000876,레미펜타닐염산염,Remifentanil Hydrochloride
D000877,수펜타닐시트르산염,Sufentanil Citrate
D000879,히드로모르폰염산염,Hydromorphone Hydrochloride
D000881,트리헥시페니딜염산염,Trihexyphenidyl Hydrochloride
D000882,비페리덴염산염,Biperiden Hydrochloride
D000218,로라제팜,Lorazepam
D000888,에틸로플라제페이트,Ethyl Loflazepate
D000890,둘록세틴염산염,Duloxetine Hydrochloride
D000930,레보드로프로피진,Levodropropizine
D000891,도네페질염산염,Donepezil Hydrochloride
D000892,리바스티그민타르타르산염,Rivastigmine Tartarate
D000893,클로르페니라민말레산염,Chlorpheniramine Maleate
D000895,디펜히드라민염산염,Diphenhydramine Hydrochloride
D000897,피프린히드리네이트,Piprinhydrinate
D000901,펙소페나딘염산염,Fexofenadine Hydrochloride
D000902,케토티펜푸마르산염,Ketotifen Fumarate
D000903,레보세티리진염산염,Levocetirizine Hydrochloride
D000904,미졸라스틴,Mizolastine
D000905,몬테루카스트나트륨,Montelukast Sodium
D000906,아세브로필린,Acebrophylline
D000909,독소필린,Doxofylline
D000912,테오필린폴리메릭쉘드콤플렉스,Theophylline Polymeric Shelled Complex
D000913,디에틸아미노에틸테오필린염산염,Diethylaminoethyltheophylline Hydrochloride
D000914,밤부테롤염산염,Bambuterol Hydrochloride
D000915,아세틸시스테인,Acetylcysteine
D000916,암브록솔염산염,Ambroxol Hydrochloride
D000917,브롬헥신염산염,Bromhexine Hydrochloride
D000918,에르도스테인,Erdosteine
D000922,넬테넥신일수화물,Neltenexine Monohydrate
D000923,소브레롤,Sobrerol
D000925,벤프로페린인산염,Benproperine Phosphate
D000926,부타미레이트시트르산염,Butamirate Citrate
D000968,"메틸-N,S-디아세틸시스테인","Methyl-N,S-Diacetylcysteine"
D000972,올메사르탄메독소밀,Olmesartan Medoxomil
D000450,아로티놀롤염산염,Arotinolol Hydrochloride
D000011,발사르탄,Valsartan
D000982,나프록센,Naproxen
D000983,피록시캄,Piroxicam
D001004,폴마콕시브,Polmacoxib
D001012,에토리콕시브,Etoricoxib
D001016,타펜타돌염산염,Tapentadol Hydrochloride
D001010,데스벤라팍신숙신산염일수화물,Desvenlafaxine Succinate Monohydrate
D000690,글리벤클라미드,Glibenclamide
D000600,글리클라지드,Gliclazide
D000392,글리메피리드,Glimepiride
D000079,글리피지드,Glipizide
D000130,미티글리니드칼슘수화물,Mitiglinide Calcium Hydrate
D000418,레파글리니드,Repaglinide
D000149,아카보즈,Acarbose
D001333,미그리톨,Miglitol
D000442,보글리보스,Voglibose
D000109,피오글리타존염산염,Pioglitazone Hydrochloride
D000692,다파글리플로진프로판디올수화물,Dapagliflozin Propanediol Hydrate
D000157,엠파글리플로진,Empagliflozin
D000744,알로글립틴벤조산염,Alogliptin Benzoate
D001066,아나글립틴,Anagliptin
D001008,에보글립틴타르타르산염,Evogliptin Tartrate
D000670,제미글립틴타르타르산염1.5수화물,Gemigliptin Tartrate Sesquihydrate
D000117,리나글립틴,Linagliptin
D000335,삭사글립틴수화물,Saxagliptin Hydrate
D000244,시타글립틴인산염수화물,Sitagliptin Phosphate Hydrate
D000680,테네리글립틴브롬화수소산염수화물,Teneligliptin Hydrobromide Hydrate
D000445,빌다글립틴,Vildagliptin
D001007,둘라글루타이드,Dulaglutide
D001351,인슐린아스파트,Insulin Aspart
D001330,인슐린데글루덱,Insulin Degludec
D001349,인슐린글라진,Insulin Glargine
D001544,에스조피클론,Eszopiclone
D000140,시메티딘,Cimetidine
D001615,파모티딘,Famotidine
D001488,라푸티딘,Lafutidine
D001489,니자티딘,Nizatidine
D001616,라니티딘염산염,Ranitidine Hydrochloride
D001490,록사티딘아세테이트염산염,Roxatidine Acetate Hydrochloride
D000168,일라프라졸,Ilaprazole
D000699,란소프라졸,Lansoprazole
D000695,덱스란소프라졸,Dexlansoprazole
D000469,오메프라졸,Omeprazole
D000153,에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Trihydrate
D000386,판토프라졸나트륨세스키히드레이트,Pantoprazole Sodium Sesquihydrate
D000204,라베프라졸나트륨,Rabeprazole Sodium
D000301,레바프라잔염산염,Revaprazan Hydrochloride
D001367,테고프라잔,Tegoprazan
D001410,보노프라잔푸마르산염,Vonoprazan Fumarate
D001648,펙수프라잔염산염,Fexuprazan Hydrochloride
D001743,피네레논,Finerenone
D001745,이나보글리플로진,Enavogliflozin
D001746,라스미디탄헤미숙신산염,Lasmiditan Hemisuccinate
D001765,터제파타이드,Tirzepatide
D001824,자스타프라잔시트르산염,Zastaprazan Citrate
D000145,아미노필린,Aminophylline
D000159,아미로라이드,Amiloride
D000550,아미카신,Amikacin
D000254,알벤다졸,Albendazole
D000345,알프로스타딜,Alprostadil
D000249,아세타졸아미드,Acetazolamide
D000658,알렌드론산,Alendronate
D000033,아캄프로세이트,Acamprosate
D000741,아자시티딘,Azacitidine
D000597,3'-데옥시-3'-플루오로티미딘(18F),3'-Deoxy-3'-Fluorothymidine(18F)
D000736,아니둘라펀진,Anidulafungin
D000019,아시트레틴,Acitretin
D000458,암브리센탄,Ambrisentan
D000738,아바타셉트,Abatacept
D000654,아바카비르,Abacavir
D000643,삼산화비소,Arsenic trioxide
D000687,5-아미노레불린산,5-Aminolevulinic acid
D000258,엑시티닙,Axitinib
D000346,애플리버셉트,Aflibercept
D000253,알렘투주맙,Alemtuzumab
D000146,아비라테론,Abiraterone
D000100,프로게스테론,Progesterone
D000132,베타메타손,Betamethasone
D000340,시스플라틴,Cisplatin
D000053,카모스타트,Camostat
D000148,아조세미드,Azosemide
D000371,카르보플라틴,Carboplatin
D000563,벤세라지드,Benserazide
D000581,칼시트리올,Calcitriol
D000054,클라드리빈,Cladribine
D000542,블레오마이신,Bleomycin
D000174,카르비마졸,Carbimazole
D000441,벨로테칸,Belotecan
D000533,바실릭시맙,Basiliximab
D000330,보르테조밉,Bortezomib
D000030,아미설프리드,Amisulpride
D000537,베바시주맙,Bevacizumab
D000337,세트로렐릭스,Cetrorelix
D000637,베클로메타손,Beclomethasone
D000372,카바지탁셀,Cabazitaxel
D000009,바제독시펜,Bazedoxifene
D000539,벨리무맙,Belimumab
D000640,브롬페낙,Bromfenac
D000339,시나칼세트,Cinacalcet
D000437,벤다무스틴,Bendamustine
D000538,벤지다민,Benzydamine
D000052,카르테올롤,Carteolol
D000234,베넥세이트,Benexate
D000722,부시라민,Bucillamine
D000250,아자티오프린,Azathioprine
D000534,발로플록사신,Balofloxacin
D000235,베라프로스트,Beraprost
