dur_code,ingr_code_a,ingr_code_b,prohibit_content,notification_date,rule_version,source_ref
USJNT_TABOO,D000698,D000700,"고혈압위기, 세로토닌증후군 발생 위험 증가",2015-04-23,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000373,D000487,톨밥탄의 혈중농도 증가,2015-04-23,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000487,D000762,톨밥탄의 혈중농도 증가,2015-04-23,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000143,D000297,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000373,D000385,티카그렐러의 혈중농도 증가,2015-04-23,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000142,D000297,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000035,D000297,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000348,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000517,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
USJNT_TABOO,D000297,D000373,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성
강력한 CYP억제제가 돔페리돈의 대사를 감소시켜, 돔페리돈의 영향(이상반응 포함) 증대 가능성",2015-11-30,MFDS-DUR-INGREDIENT,https://www.data.go.kr/data/15056780/openapi.do
